director,id,profit
Randall Balsmeyer,12572,-6650334.0
Shekhar Kapur,12572,-6650334.0
Shunji Iwai,12572,-6650334.0
Wen Jiang,12572,-6650334.0
Yvan Attal,12572,-6650334.0
John Hamburg,16538,50636986.0
Steven Soderbergh,11323,13424826.0
Andy Fickman,13836,56303988.0
Christian Alvart,28355,2000000.0
Richard Curtis,18947,-13651216.0
Michael Spierig,19901,31416464.0
Peter Spierig,19901,31416464.0
Robert Schwentke,24420,62229792.0
Lars von Trier,17609,-10208133.0
Brandon Camp,25643,18133014.0
Paul McGuigan,13455,7465299.0
Antoine Fuqua,26390,12536299.0
Kevin Greutert,22804,57233629.0
Jean-Marc VallÃ©e,18320,-7590111.0
Ethan Coen,12573,24430334.0
Joel Coen,12573,24430334.0
David Twohy,12403,8852638.0
Dominic Sena,22787,-27793972.0
Glenn Ficarra,8952,-2347965.0
John Requa,8952,-2347965.0
Gaspar NoÃ©,34647,-12245751.0
Renny Harlin,17134,-2719674.0
Rajkumar Hirani,20453,61000000.0
Michael Bay,8373,686297228.0
Grant Heslov,10313,44729358.0
James McTeigue,22832,20462347.0
Todd Graff,23367,-14789012.0
Spike Jonze,16523,86793.0
Nancy Meyers,22897,134103655.0
Brad Silberling,18162,-31311169.0
Clint Eastwood,22954,62233971.0
Javier Abad,16866,34945765.0
Jorge Blanco,16866,34945765.0
Marcos MartÃ­nez,16866,34945765.0
Harold Ramis,17610,2357900.0
Todd Solondz,39800,-3755184.0
Neil Jordan,38448,-10355245.0
Patrick Lussier,14435,85734718.0
Walt Becker,22949,57219310.0
Alejandro AmenÃ¡bar,26428,-30958495.0
Troy Duffy,22821,2629321.0
Werner Herzog,11699,-14410898.0
Terry Gilliam,8054,31808775.0
Jonas Ã…kerlund,18476,-18982599.0
NimrÃ³d Antal,4597,2942221.0
Paul Weitz,24418,-11830329.0
Tim Blake Nelson,12834,-8014883.0
Lone Scherfig,24684,18596852.0
Judd Apatow,20829,-13541018.0
Jason Reitman,22947,138670000.0
David Bowers,16577,-20908933.0
Tom Tykwer,4959,10161391.0
John Hyams,28510,-13124614.0
Justin Lin,13804,278164265.0
Michael Moore,22074,-2563491.0
Rob Zombie,24150,24421467.0
Peter Chelsom,18126,120545279.0
Patrick Alessandrin,15357,-6213625.0
John Schultz,20856,12881056.0
Marcus Dunstan,21407,6044018.0
Sebastian Gutierrez,31723,-2981903.0
Olatunde Osunsanmi,22824,32333295.0
Brian Koppelman,36691,-9975218.0
David Levien,36691,-9975218.0
J Blakeson,38542,67714.0
Tony Gilroy,16558,-18146652.0
Jane Campion,29963,-4059945.0
Greg Mottola,16614,7664377.0
Mike Judge,12569,2848783.0
Peter Stebbings,34769,-3455538.0
Rob Marshall,10197,-26174485.0
Oren Moverman,28089,-4978739.0
Sam Mendes,19255,-2100583.0
Donald Petrie,23049,3455276.0
Nick Cassavetes,10024,65714875.0
Joe Wright,17332,-28279842.0
