genres,id,profit
Drama,44754,-13953505.0
Action,73499,-13303768.0
Crime,73499,-13303768.0
Drama,73499,-13303768.0
Mystery,73499,-13303768.0
Thriller,73499,-13303768.0
Comedy,91070,-899095.0
Drama,71688,101956699.0
History,71688,101956699.0
Action,48572,-2895318.0
Horror,48572,-2895318.0
Thriller,48572,-2895318.0
Action,62630,-13371787.0
Crime,62630,-13371787.0
Drama,62630,-13371787.0
Thriller,62630,-13371787.0
War,62630,-13371787.0
Drama,56401,-3746101.0
Horror,65055,-17873542.0
Thriller,65055,-17873542.0
Action,49010,-2327352.0
Comedy,49010,-2327352.0
Thriller,49010,-2327352.0
Comedy,51017,28213633.0
Drama,51017,28213633.0
Drama,56780,-10372625.0
Mystery,56780,-10372625.0
Science Fiction,56780,-10372625.0
Thriller,56780,-10372625.0
Drama,53487,-13209021.0
Drama,73873,-2365172.0
Drama,58882,1198226.0
History,58882,1198226.0
Drama,65650,-5994794.0
Thriller,65650,-5994794.0
Drama,79120,461947.0
Romance,79120,461947.0
Crime,74725,-328240.0
Horror,74725,-328240.0
Thriller,74725,-328240.0
Documentary,54518,85441954.0
Family,54518,85441954.0
Music,54518,85441954.0
Action,58699,84236.0
Drama,58699,84236.0
Romance,58699,84236.0
Comedy,82532,-5582420.0
Drama,82532,-5582420.0
Science Fiction,38541,-2978000.0
Documentary,66150,180659.0
Drama,66150,180659.0
Action,49538,184420111.0
Adventure,49538,184420111.0
Science Fiction,49538,184420111.0
Comedy,80379,750000.0
Documentary,67675,9663238.0
Family,67675,9663238.0
Music,67675,9663238.0
Drama,62796,-5.0
Romance,62796,-5.0
Action,121,847287400.0
Adventure,121,847287400.0
Fantasy,121,847287400.0
Adventure,672,776688482.0
Family,672,776688482.0
Fantasy,672,776688482.0
Adventure,425,324257136.0
Animation,425,324257136.0
Comedy,425,324257136.0
Family,425,324257136.0
Action,2501,154034224.0
Drama,2501,154034224.0
Mystery,2501,154034224.0
Thriller,2501,154034224.0
Action,1576,69441078.0
Horror,1576,69441078.0
Science Fiction,1576,69441078.0
Action,557,682708551.0
Fantasy,557,682708551.0
Action,1894,529398328.0
Adventure,1894,529398328.0
Science Fiction,1894,529398328.0
Crime,640,300114312.0
Drama,640,300114312.0
Action,608,301818803.0
Adventure,608,301818803.0
Comedy,608,301818803.0
Science Fiction,608,301818803.0
Drama,423,85072577.0
War,423,85072577.0
Action,180,256372926.0
Mystery,180,256372926.0
Science Fiction,180,256372926.0
Thriller,180,256372926.0
Animation,11544,65771527.0
Action,4108,22928932.0
Crime,4108,22928932.0
Thriller,4108,22928932.0
Action,7451,207448382.0
Adventure,9016,-30421885.0
Animation,9016,-30421885.0
Family,9016,-30421885.0
Fantasy,9016,-30421885.0
Science Fiction,9016,-30421885.0
Action,36669,291971116.0
Adventure,36669,291971116.0
Thriller,36669,291971116.0
Horror,170,77719885.0
Science Fiction,170,77719885.0
Thriller,170,77719885.0
Comedy,7303,99906693.0
Drama,7303,99906693.0
Romance,7303,99906693.0
Action,36586,101010032.0
Horror,36586,101010032.0
Science Fiction,36586,101010032.0
Thriller,36586,101010032.0
Crime,3131,93772504.0
Drama,3131,93772504.0
History,3131,93772504.0
Crime,4547,148397415.0
Drama,4547,148397415.0
Thriller,4547,148397415.0
Adventure,10996,49956806.0
Animation,10996,49956806.0
Comedy,10996,49956806.0
Family,10996,49956806.0
Comedy,11452,33275483.0
Romance,11452,33275483.0
Drama,65,174000000.0
Comedy,2022,121269535.0
Romance,2022,121269535.0
Comedy,455,73078482.0
Drama,455,73078482.0
Romance,455,73078482.0
Comedy,2642,33354918.0
Romance,2642,33354918.0
Drama,2675,336247917.0
Mystery,2675,336247917.0
Science Fiction,2675,336247917.0
Thriller,2675,336247917.0
Horror,565,201348933.0
Mystery,565,201348933.0
Thriller,565,201348933.0
Drama,10229,30227069.0
Family,10229,30227069.0
Romance,10229,30227069.0
Comedy,8346,363744044.0
Drama,8346,363744044.0
Romance,8346,363744044.0
Comedy,245,102000000.0
Drama,245,102000000.0
Romance,245,102000000.0
Action,9884,-6617567.0
Drama,9884,-6617567.0
Thriller,9884,-6617567.0
Drama,1817,84837138.0
Thriller,1817,84837138.0
Action,201,7312826.0
Adventure,201,7312826.0
Science Fiction,201,7312826.0
Thriller,201,7312826.0
Action,7299,-14640355.0
Science Fiction,7299,-14640355.0
Thriller,7299,-14640355.0
Comedy,9962,8856124.0
Drama,9962,8856124.0
Romance,9962,8856124.0
Drama,590,83846072.0
Crime,4147,101001478.0
Drama,4147,101001478.0
Thriller,4147,101001478.0
Action,818,233633907.0
Comedy,818,233633907.0
Crime,818,233633907.0
Science Fiction,818,233633907.0
Comedy,9021,107855065.0
Family,9021,107855065.0
Fantasy,9021,107855065.0
Crime,320,67714830.0
Mystery,320,67714830.0
Thriller,320,67714830.0
Horror,9645,33349884.0
Mystery,9645,33349884.0
Thriller,9645,33349884.0
Adventure,9637,191650703.0
Comedy,9637,191650703.0
Mystery,9637,191650703.0
Adventure,9023,42563539.0
Animation,9023,42563539.0
Comedy,9023,42563539.0
Family,9023,42563539.0
Action,10375,-48583698.0
Thriller,10375,-48583698.0
Action,9334,105333180.0
Adventure,9334,105333180.0
Fantasy,9334,105333180.0
Action,8427,-36438863.0
Adventure,8427,-36438863.0
Comedy,8427,-36438863.0
Thriller,8427,-36438863.0
Documentary,1430,31564473.0
Crime,1429,-1939157.0
Drama,1429,-1939157.0
Drama,7090,-852259.0
Action,4614,125.0
Drama,4614,125.0
Thriller,4614,125.0
Action,10590,39660784.0
History,10590,39660784.0
War,10590,39660784.0
Comedy,9012,59282312.0
Drama,1360,44298474.0
Romance,1360,44298474.0
Crime,11892,6714147.0
Drama,11892,6714147.0
Thriller,11892,6714147.0
Comedy,2757,13801173.0
Crime,2757,13801173.0
Drama,2757,13801173.0
Comedy,11529,150622424.0
Romance,11529,150622424.0
Comedy,10611,63781642.0
Drama,10611,63781642.0
Action,4911,-5762530.0
Crime,4911,-5762530.0
Drama,4911,-5762530.0
Thriller,4911,-5762530.0
Action,2135,43729176.0
Adventure,2135,43729176.0
Science Fiction,2135,43729176.0
Action,15070,-7601372.0
Adventure,15070,-7601372.0
Drama,15070,-7601372.0
Thriller,15070,-7601372.0
Comedy,11812,25696770.0
Romance,11812,25696770.0
Action,12100,-37371735.0
Drama,12100,-37371735.0
History,12100,-37371735.0
War,12100,-37371735.0
Crime,8470,66244770.0
Drama,8470,66244770.0
Thriller,8470,66244770.0
Drama,2251,69137784.0
Action,1537,49935764.0
Adventure,1537,49935764.0
Crime,1537,49935764.0
Thriller,1537,49935764.0
Comedy,8051,-8000000.0
Drama,8051,-8000000.0
Romance,8051,-8000000.0
Drama,8665,-64831034.0
History,8665,-64831034.0
Thriller,8665,-64831034.0
Drama,11979,10479110.0
Fantasy,11979,10479110.0
Horror,11979,10479110.0
Action,9488,81723358.0
Adventure,9488,81723358.0
Comedy,9488,81723358.0
Family,9488,81723358.0
Action,1957,13801187.0
Drama,1957,13801187.0
Thriller,1957,13801187.0
Comedy,10426,13526835.0
Drama,10426,13526835.0
Adventure,16690,89862682.0
Animation,16690,89862682.0
Family,16690,89862682.0
Fantasy,16690,89862682.0
Comedy,16643,-23127329.0
Drama,16643,-23127329.0
Romance,16643,-23127329.0
Comedy,20009,-7586085.0
Romance,20009,-7586085.0
Action,1574,261776732.0
Comedy,1574,261776732.0
Crime,1574,261776732.0
Drama,1574,261776732.0
Music,1574,261776732.0
Horror,9357,40223306.0
Thriller,9357,40223306.0
Crime,9280,-18161090.0
Romance,9280,-18161090.0
Thriller,9280,-18161090.0
Drama,13536,-17566085.0
Mystery,13536,-17566085.0
Thriller,13536,-17566085.0
Action,6278,-16938018.0
Fantasy,6278,-16938018.0
Science Fiction,6278,-16938018.0
Thriller,6278,-16938018.0
Action,5851,-7258268.0
Comedy,5851,-7258268.0
Crime,11560,21781810.0
Drama,11560,21781810.0
Mystery,11560,21781810.0
Thriller,11560,21781810.0
Drama,31005,-10988950.0
Romance,31005,-10988950.0
Drama,10592,-37712956.0
War,10592,-37712956.0
Comedy,2755,75834556.0
Drama,2755,75834556.0
Adventure,9266,26842679.0
Crime,9573,-23800483.0
Drama,9573,-23800483.0
Mystery,9573,-23800483.0
Thriller,9573,-23800483.0
Drama,2103,-16997242.0
Mystery,2103,-16997242.0
Romance,2103,-16997242.0
Science Fiction,2103,-16997242.0
Adventure,9093,-5117355.0
Drama,9093,-5117355.0
Romance,9093,-5117355.0
War,9093,-5117355.0
Action,8198,-2325876.0
Drama,8198,-2325876.0
Romance,8198,-2325876.0
Thriller,8198,-2325876.0
Drama,2637,23157539.0
Horror,2637,23157539.0
Mystery,2637,23157539.0
Thriller,2637,23157539.0
Drama,10712,15527914.0
Romance,10712,15527914.0
Drama,14635,55597042.0
Family,14635,55597042.0
Action,3132,-4022705.0
Adventure,3132,-4022705.0
Comedy,3132,-4022705.0
Thriller,3132,-4022705.0
Comedy,4912,3013805.0
Crime,4912,3013805.0
Drama,4912,3013805.0
Romance,4912,3013805.0
Thriller,4912,3013805.0
Action,10550,-50075967.0
Adventure,10550,-50075967.0
Thriller,10550,-50075967.0
Action,9039,-23083131.0
Crime,9039,-23083131.0
Drama,9039,-23083131.0
Thriller,9039,-23083131.0
Adventure,15028,12793283.0
Family,15028,12793283.0
Science Fiction,15028,12793283.0
Thriller,15028,12793283.0
Horror,11442,24664855.0
Thriller,11442,24664855.0
Drama,11468,-17323302.0
Mystery,11468,-17323302.0
Thriller,11468,-17323302.0
Comedy,11870,37970014.0
